col,row,sample,primers
1,A,,
1,B,,
1,C,,
1,D,,
1,E,,
1,F,,
1,G,,
1,H,,
2,A,,
2,B,,
2,C,,
2,D,,
2,E,,
2,F,,
2,G,,
2,H,,
3,A,,
3,B,,
3,C,,
3,D,,
3,E,,
3,F,,
3,G,,
3,H,,
4,A,,
4,B,,
4,C,,
4,D,,
4,E,,
4,F,,
4,G,,
4,H,,
5,A,41,dnajc6
5,B,42,dnajc6
5,C,43,dnajc6
5,D,44,dnajc6
5,E,45,dnajc6
5,F,46,dnajc6
5,G,47,dnajc6
5,H,48,dnajc6
6,A,49,dnajc6
6,B,50,dnajc6
6,C,51,dnajc6
6,D,52,dnajc6
6,E,53,dnajc6
6,F,54,dnajc6
6,G,55,dnajc6
6,H,56,dnajc6
7,A,57,dnajc6
7,B,58,dnajc6
7,C,59,dnajc6
7,D,60,dnajc6
7,E,61,dnajc6
7,F,62,dnajc6
7,G,63,dnajc6
7,H,64,dnajc6
8,A,65,dnajc6
8,B,66,dnajc6
8,C,67,dnajc6
8,D,68,dnajc6
8,E,69,dnajc6
8,F,70,dnajc6
8,G,71,dnajc6
8,H,72,dnajc6
9,A,73,dnajc6
9,B,74,dnajc6
9,C,75,dnajc6
9,D,76,dnajc6
9,E,77,dnajc6
9,F,78,dnajc6
9,G,79,dnajc6
9,H,80,dnajc6
10,A,81,dnajc6
10,B,82,dnajc6
10,C,83,dnajc6
10,D,84,dnajc6
10,E,85,dnajc6
10,F,86,dnajc6
10,G,87,dnajc6
10,H,88,dnajc6
11,A,89,dnajc6
11,B,90,dnajc6
11,C,91,dnajc6
11,D,92,dnajc6
11,E,93,dnajc6
11,F,94,dnajc6
11,G,95,dnajc6
11,H,96,dnajc6
12,A,wt,dnajc6
12,B,het,dnajc6
12,C,hom,dnajc6
12,D,ntc,dnajc6
12,E,,
12,F,,
12,G,,
12,H,,